City,Column,Old,New
Abha,Hood 5 Description,"The famous heritage village of Rijal Almaa southwest of Abha, with its striking stone-and-quartz tower houses and museum; more a day-trip destination than a hotel hub, but a highlight of the Asir region for those drawn to its history.",
Abha,Hood 5 Landmark,Rijal Almaa heritage village,
Abha,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Rijal%20Almaa%2C%20Abha,
Abha,Hood 5 High-end Hotel,Blue Inn Boutique Hotel,
Abha,Hood 5 Mid-range Hotel,Citadines Abha,
Abha,Hood 5 Budget Hotel,Boudl Abha,
Abha,Areas to Avoid,None noted in the city itself — avoid overland travel toward the Yemen border south of the Asir region due to security risks.,None noted — standard travel precautions apply
Abha,Food 1 Photo File,,images/food/asiri-mandi-and-haneeth.webp
Abha,Food 1 Photo Credit,,https://commons.wikimedia.org/wiki/File:Syrian_meal.jpg
Abha,Food 3 Photo File,,images/food/masabeeb.webp
Abha,Food 3 Photo Credit,,https://www.flickr.com/photos/7881775@N06/3429765607
Abha,Food 4 Photo File,,images/food/mutabbaq.webp
Abha,Food 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Murtabak.jpg
Abha,Food 5 Photo File,,images/food/madhbi.webp
Abha,Food 5 Photo Credit,,https://www.flickr.com/photos/92405724@N00/2351273120
Abha,Food 6 Photo File,,images/food/sarawat-mountain-honey.webp
Abha,Food 6 Photo Credit,,https://www.flickr.com/photos/35034363271@N01/79606170
Abha,Food 7 Photo File,,images/food/saudi-qahwa-with-dates.webp
Abha,Food 7 Photo Credit,,https://commons.wikimedia.org/wiki/File:A_dallah_a_traditional_Arabic_coffee_pot_with_cups_and_coffee_beans.jpg
Abha,Food 8 Photo File,,images/food/karak-tea-and-laban.webp
Abha,Food 8 Photo Credit,,https://www.flickr.com/photos/67975030@N00/4577725758
Abidjan,Hood 1 High-end Hotel,ibis Abidjan Plateau,Hôtel Tiama Abidjan
Abidjan,Hood 1 Budget Hotel,Hôtel Tiama Abidjan,ibis Styles Abidjan Plateau
Abidjan,Hood 2 High-end Hotel,Azalaï Hotel Abidjan,Sofitel Abidjan Hôtel Ivoire
Abidjan,Hood 2 Mid-range Hotel,Seen Hotel Abidjan,Hôtel Palm Club
Abidjan,Hood 2 Budget Hotel,Sofitel Abidjan Hôtel Ivoire,Hotel Yatchenin Abidjan
Abidjan,Hood 3 High-end Hotel,ibis Styles Abidjan Marcory Zone 4,Azalaï Hôtel Abidjan
Abidjan,Hood 3 Mid-range Hotel,Belle Côte Hôtel,Le Wafou Hotel
Abidjan,Hood 3 Budget Hotel,Wafou Hôtel,ibis Styles Abidjan Marcory
Abidjan,Hood 4 High-end Hotel,Golf Hotel Abidjan,Heden Golf Hotel
Abidjan,Hood 4 Mid-range Hotel,Palm Club Hôtel,Residences Saint Pierre
Abidjan,Hood 4 Budget Hotel,Eburnie Hôtel,Bluebay Hotel Abidjan
Abidjan,Hood 5 High-end Hotel,Radisson Blu Hotel Abidjan Airport,"Radisson Blu Hotel, Abidjan Airport"
Abidjan,Hood 5 Mid-range Hotel,Onomo Hotel Abidjan Aéroport,ONOMO Hotel Abidjan Airport
Abidjan,Hood 5 Budget Hotel,ibis Abidjan Aéroport,Le Palais d'Akwa
Abidjan,Areas to Avoid,"Avoid Abobo, Adjamé and the rougher parts of Yopougon after dark, where street crime and muggings are common.",None noted — standard travel precautions apply
Abidjan,Food 1 Photo File,,images/food/attieke-with-grilled-fish.webp
Abidjan,Food 1 Photo Credit,,https://commons.wikimedia.org/wiki/File:Attieke.JPG
Abidjan,Food 2 Photo File,,images/food/alloco.webp
Abidjan,Food 2 Photo Credit,,https://commons.wikimedia.org/wiki/File:Vendeuses_de_bananes_plantain.jpg
Abidjan,Food 3 Photo File,,images/food/kedjenou.webp
Abidjan,Food 3 Photo Credit,,https://commons.wikimedia.org/wiki/File:Kedjenou_-_01.jpg
Abidjan,Food 4 Photo File,,images/food/garba.webp
Abidjan,Food 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:2_Chapati_warm_and_ready_to_be_eaten.jpg
Abidjan,Food 5 Photo File,,images/food/brochettes-and-grilled-escargots.webp
Abidjan,Food 5 Photo Credit,,https://commons.wikimedia.org/wiki/File:Irish_Coddle.jpg
Abidjan,Food 7 Photo File,,images/food/bangui-palm-wine.webp
Abidjan,Food 7 Photo Credit,,https://commons.wikimedia.org/wiki/File:Fufu.jpg
Abidjan,Food 8 Photo File,,images/food/bissap-and-gnamankoudji.webp
Abidjan,Food 8 Photo Credit,,https://www.flickr.com/photos/93841400@N00/6610593933
Abu Dhabi,Hood 1 Name,Al Reem Island,Yas Island
Abu Dhabi,Hood 1 Vibe,quiet,nightlife
Abu Dhabi,Hood 1 Description,"Al Reem Island is a modern high-rise residential island of glassy waterfront towers just off downtown, popular with young professionals and families who want new apartments close to the city.","Yas Island is the entertainment hub packed with Ferrari World, Yas Waterworld, SeaWorld and the F1 circuit, ideal for tourists and families chasing theme parks and nightlife."
Abu Dhabi,Hood 1 Landmark,Reem Central Park's waterfront promenade and beach,Ferrari World's record-breaking Formula Rossa roller coaster
Abu Dhabi,Hood 1 Photo File,images/hoods/abu-dhabi--al-reem-island.webp,images/hoods/abu-dhabi--yas-island.webp
Abu Dhabi,Hood 1 Photo Credit,https://commons.wikimedia.org/wiki/File:Reem_Island_Mangroves.png,https://www.pexels.com/photo/modern-city-by-river-7058845/
Abu Dhabi,Hood 1 Map Link,https://www.google.com/maps/search/?api=1&query=Al%20Reem%20Island%2C%20Abu%20Dhabi,https://www.google.com/maps/search/?api=1&query=Yas%20Island%2C%20Abu%20Dhabi
Abu Dhabi,Hood 1 High-end Hotel,Four Seasons Hotel Abu Dhabi at Al Maryah Island,"The WB Abu Dhabi, Curio Collection by Hilton"
Abu Dhabi,Hood 1 Mid-range Hotel,Aloft Abu Dhabi,Hilton Abu Dhabi Yas Island
Abu Dhabi,Hood 1 Budget Hotel,Ibis Abu Dhabi Gate,W Abu Dhabi Yas Island
Abu Dhabi,Hood 2 Name,Yas Island,Saadiyat Island
Abu Dhabi,Hood 2 Vibe,nightlife,sights
Abu Dhabi,Hood 2 Description,"Yas Island is the entertainment hub packed with Ferrari World, Yas Waterworld, SeaWorld and the F1 circuit, ideal for tourists and families chasing theme parks and nightlife.","Saadiyat Island is a refined cultural and beach district home to the Louvre Abu Dhabi and luxury resorts on pristine sand, suiting upscale travelers who want art, calm and top-end hotels."
Abu Dhabi,Hood 2 Landmark,Ferrari World's record-breaking Formula Rossa roller coaster,Louvre Abu Dhabi under its floating dome
Abu Dhabi,Hood 2 Photo File,images/hoods/abu-dhabi--yas-island.webp,images/hoods/abu-dhabi--saadiyat-island.webp
Abu Dhabi,Hood 2 Photo Credit,https://www.pexels.com/photo/modern-city-by-river-7058845/,Own photo (Never Roam Alone)
Abu Dhabi,Hood 2 Map Link,https://www.google.com/maps/search/?api=1&query=Yas%20Island%2C%20Abu%20Dhabi,https://www.google.com/maps/search/?api=1&query=Saadiyat%20Island%2C%20Abu%20Dhabi
Abu Dhabi,Hood 2 High-end Hotel,W Abu Dhabi Yas Island,Saadiyat Rotana Resort and Villas
Abu Dhabi,Hood 2 Mid-range Hotel,Radisson Blu Hotel Abu Dhabi Yas Island,Park Hyatt Abu Dhabi Hotel and Villas
Abu Dhabi,Hood 2 Budget Hotel,Premier Inn Abu Dhabi Yas Island,Millennium Residences Saadiyat Island
Abu Dhabi,Hood 3 Name,Saadiyat Island,Corniche
Abu Dhabi,Hood 3 Vibe,sights,central
Abu Dhabi,Hood 3 Description,"Saadiyat Island is a refined cultural and beach district home to the Louvre Abu Dhabi and luxury resorts on pristine sand, suiting upscale travelers who want art, calm and top-end hotels.","The Corniche is the central waterfront promenade lined with beaches, cafes and parks, great for visitors wanting a walkable seafront base in the heart of the city."
Abu Dhabi,Hood 3 Landmark,Louvre Abu Dhabi under its floating dome,The 8 km landscaped waterfront promenade and public beach
Abu Dhabi,Hood 3 Photo File,images/hoods/abu-dhabi--saadiyat-island.webp,images/hoods/abu-dhabi--corniche.webp
Abu Dhabi,Hood 3 Photo Credit,Own photo (Never Roam Alone),https://www.pexels.com/photo/scenic-abu-dhabi-corniche-promenade-view-30322788/
Abu Dhabi,Hood 3 Map Link,https://www.google.com/maps/search/?api=1&query=Saadiyat%20Island%2C%20Abu%20Dhabi,https://www.google.com/maps/search/?api=1&query=Corniche%2C%20Abu%20Dhabi
Abu Dhabi,Hood 3 High-end Hotel,Park Hyatt Abu Dhabi Hotel and Villas,The St. Regis Abu Dhabi
Abu Dhabi,Hood 3 Mid-range Hotel,Saadiyat Rotana Resort and Villas,Sheraton Abu Dhabi Hotel and Resort
Abu Dhabi,Hood 3 Budget Hotel,Premier Inn Abu Dhabi Capital Centre,Corniche Hotel Abu Dhabi
Abu Dhabi,Hood 4 Name,Corniche,Khalifa City
Abu Dhabi,Hood 4 Vibe,central,quiet
Abu Dhabi,Hood 4 Description,"The Corniche is the central waterfront promenade lined with beaches, cafes and parks, great for visitors wanting a walkable seafront base in the heart of the city.","Khalifa City is a quiet, spread-out suburban area of villas near the airport, best for families and longer-stay visitors who want space and lower prices over city buzz."
Abu Dhabi,Hood 4 Landmark,The 8 km landscaped waterfront promenade and public beach,Al Forsan International Sports Resort's wake parks and equestrian center
Abu Dhabi,Hood 4 Photo File,images/hoods/abu-dhabi--corniche.webp,images/hoods/abu-dhabi--khalifa-city.webp
Abu Dhabi,Hood 4 Photo Credit,https://www.pexels.com/photo/scenic-abu-dhabi-corniche-promenade-view-30322788/,https://commons.wikimedia.org/wiki/File:Shaikh_Khalifa_Medical_City.jpg
Abu Dhabi,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Corniche%2C%20Abu%20Dhabi,https://www.google.com/maps/search/?api=1&query=Khalifa%20City%2C%20Abu%20Dhabi
Abu Dhabi,Hood 4 High-end Hotel,Sheraton Abu Dhabi Hotel and Resort,Marriott Hotel Al Forsan Abu Dhabi
Abu Dhabi,Hood 4 Mid-range Hotel,Corniche Hotel Abu Dhabi,VOGO Abu Dhabi Golf Resort and Spa
Abu Dhabi,Hood 4 Budget Hotel,Al Diar Regency Hotel Abu Dhabi,Premier Inn Abu Dhabi Airport Business Park
Abu Dhabi,Hood 5 Name,Khalifa City,Al Maryah Island
Abu Dhabi,Hood 5 Vibe,quiet,central
Abu Dhabi,Hood 5 Description,"Khalifa City is a quiet, spread-out suburban area of villas near the airport, best for families and longer-stay visitors who want space and lower prices over city buzz.","Al Maryah Island is Abu Dhabi's compact financial and luxury-retail island, holding the Galleria mall, the Abu Dhabi Global Market financial centre and Cleveland Clinic, and linked to the downtown island by bridge. Its waterfront is lined with five-star hotels, so it suits business travellers and shoppers who want a polished, walkable base."
Abu Dhabi,Hood 5 Landmark,Al Forsan International Sports Resort's wake parks and equestrian center,The Galleria Al Maryah Island and the Sowwah Square waterfront promenade
Abu Dhabi,Hood 5 Photo File,images/hoods/abu-dhabi--khalifa-city.webp,images/hoods/abu-dhabi--al-maryah-island.webp
Abu Dhabi,Hood 5 Photo Credit,https://commons.wikimedia.org/wiki/File:Shaikh_Khalifa_Medical_City.jpg,https://commons.wikimedia.org/wiki/File:Cityview_from_Al_Maryah_Island.jpg
Abu Dhabi,Hood 5 Map Link,https://www.google.com/maps/search/?api=1&query=Khalifa%20City%2C%20Abu%20Dhabi,https://www.google.com/maps/search/?api=1&query=Al%20Maryah%20Island%2C%20Abu%20Dhabi
Abu Dhabi,Hood 5 High-end Hotel,The Westin Abu Dhabi Golf Resort and Spa,Four Seasons Hotel Abu Dhabi at Al Maryah Island
Abu Dhabi,Hood 5 Mid-range Hotel,Park Rotana Abu Dhabi,Rosewood Abu Dhabi
Abu Dhabi,Hood 5 Budget Hotel,Premier Inn Abu Dhabi International Airport,
Abu Dhabi,Food 1 Photo File,,images/food/machboos.webp
Abu Dhabi,Food 1 Photo Credit,,https://commons.wikimedia.org/wiki/File:Machboos_%28cropped%29.JPG
Abu Dhabi,Food 2 Photo File,,images/food/harees.webp
Abu Dhabi,Food 2 Photo Credit,,https://commons.wikimedia.org/wiki/File:Armenian_Harisa.JPG
Abu Dhabi,Food 3 Photo File,,images/food/thareed.webp
Abu Dhabi,Food 3 Photo Credit,,https://commons.wikimedia.org/wiki/File:Tharid._%28cropped%29.JPG
Abu Dhabi,Food 4 Photo File,,images/food/balaleet-and-chebab.webp
Abu Dhabi,Food 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Luqaimat.jpg
Abu Dhabi,Food 5 Photo File,,images/food/luqaimat.webp
Abu Dhabi,Food 5 Photo Credit,,https://commons.wikimedia.org/wiki/File:Sam%27dan_lokma_tatlisi.jpg
Abu Dhabi,Food 7 Photo File,,images/food/karak-chai.webp
Abu Dhabi,Food 7 Photo Credit,,https://commons.wikimedia.org/wiki/File:Chai_In_Sakora.jpg
Abu Dhabi,Food 8 Photo File,,images/food/gahwa.webp
Abu Dhabi,Food 8 Photo Credit,,https://commons.wikimedia.org/wiki/File:A_dallah_a_traditional_Arabic_coffee_pot_with_cups_and_coffee_beans.jpg
Abuja,Use Extra Caution,"Use registered or app-based taxis to avoid 'one-chance' robbery scams, and be wary after dark on the outskirts such as Nyanya, Mararaba and Kubwa.",Nothing specific — usual city awareness
Abuja,Food 1 Photo File,,images/food/jollof-rice.webp
Abuja,Food 1 Photo Credit,,https://commons.wikimedia.org/wiki/File:Jollof_Rice_with_Stew.jpg
Abuja,Food 2 Photo File,,images/food/suya.webp
Abuja,Food 2 Photo Credit,,https://commons.wikimedia.org/wiki/File:SuyavarietiesTX.JPG
Abuja,Food 3 Photo File,,images/food/pounded-yam-with-egusi.webp
Abuja,Food 3 Photo Credit,,https://commons.wikimedia.org/wiki/File:Pounded_yam_%28Iy%C3%A0n%29.jpg
Abuja,Food 4 Photo File,,images/food/pepper-soup.webp
Abuja,Food 4 Photo Credit,,https://www.flickr.com/photos/18259771@N00/5355451436
Abuja,Food 5 Photo File,,images/food/moin-moin-and-akara.webp
Abuja,Food 5 Photo Credit,,https://commons.wikimedia.org/wiki/File:Ugali_%26_Sukuma_Wiki.jpg
Abuja,Food 6 Photo File,,images/food/masa-and-miyan-taushe.webp
Abuja,Food 6 Photo Credit,,https://commons.wikimedia.org/wiki/File:Hausa_Food_Kosai.jpg
Abuja,Food 7 Photo File,,images/food/zobo-and-kunu.webp
Abuja,Food 7 Photo Credit,,https://commons.wikimedia.org/wiki/File:Kunu.jpg
Acapulco de Juarez,Food 1 Photo File,,images/food/pozole-verde-guerrerense.webp
Acapulco de Juarez,Food 1 Photo Credit,,https://www.flickr.com/photos/71132408@N00/8734608822
Acapulco de Juarez,Food 2 Photo File,,images/food/ceviche-acapulqueno.webp
Acapulco de Juarez,Food 2 Photo Credit,,https://www.flickr.com/photos/24062889@N00/4349250668
Acapulco de Juarez,Food 4 Photo File,,images/food/pulpo-enamorado.webp
Acapulco de Juarez,Food 4 Photo Credit,,https://www.flickr.com/photos/25117919@N06/9349747740
Acapulco de Juarez,Food 5 Photo File,,images/food/tamales-nejos.webp
Acapulco de Juarez,Food 5 Photo Credit,,https://www.flickr.com/photos/14759783@N04/28963441015
Acapulco de Juarez,Food 6 Photo File,,images/food/aporreadillo.webp
Acapulco de Juarez,Food 6 Photo Credit,,https://commons.wikimedia.org/wiki/File:AporreadilloUruapan.JPG
Acapulco de Juarez,Food 7 Photo File,,images/food/chilate.webp
Acapulco de Juarez,Food 7 Photo Credit,,https://commons.wikimedia.org/wiki/File:ChilateOmetepec.JPG
Acapulco de Juarez,Food 8 Photo File,,images/food/mezcal-guerrerense.webp
Acapulco de Juarez,Food 8 Photo Credit,,https://www.flickr.com/photos/19596115@N00/1361986308
Accra,Areas to Avoid,"No true no-go zones, but avoid Nima and Agbogbloshie after dark, where petty crime and muggings are more common.",None noted — standard travel precautions apply
Accra,Food 1 Photo File,,images/food/jollof-rice.webp
Accra,Food 1 Photo Credit,,https://commons.wikimedia.org/wiki/File:Jollof_Rice_with_Stew.jpg
Accra,Food 2 Photo File,,images/food/waakye.webp
Accra,Food 2 Photo Credit,,https://commons.wikimedia.org/wiki/File:Waakye_with_vegetables%2C_fish_and_egg_with_ripe_plantains.jpg
Accra,Food 3 Photo File,,images/food/banku-with-grilled-tilapia.webp
Accra,Food 3 Photo Credit,,https://commons.wikimedia.org/wiki/File:BALLS_OF_BANKU.jpg
Accra,Food 4 Photo File,,images/food/kelewele.webp
Accra,Food 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Vendeuses_de_bananes_plantain.jpg
Accra,Food 5 Photo File,,images/food/fufu-with-light-soup.webp
Accra,Food 5 Photo Credit,,https://commons.wikimedia.org/wiki/File:Wrapped_fufu.jpg
Accra,Food 6 Photo File,,images/food/red-red.webp
Accra,Food 6 Photo Credit,,https://commons.wikimedia.org/w/index.php?curid=87543041
Accra,Food 7 Photo File,,images/food/sobolo.webp
Accra,Food 7 Photo Credit,,https://commons.wikimedia.org/wiki/File:Hibiscus_tea.jpg
Accra,Food 8 Photo File,,images/food/palm-wine-and-akpeteshie.webp
Accra,Food 8 Photo Credit,,https://commons.wikimedia.org/wiki/File:Toddy_Bottle_and_Glass.jpg
Addis Ababa,Areas to Avoid,"Avoid carrying valuables in and around Merkato — Africa's largest open-air market and a pickpocketing hotspot — and steer clear of any political demonstrations, which can turn violent quickly.",None noted — standard travel precautions apply
Addis Ababa,Food 1 Photo File,,images/food/doro-wat-with-injera.webp
Addis Ababa,Food 1 Photo Credit,,https://commons.wikimedia.org/wiki/File:Injera_with_eight_kinds_of_stew.jpg
Addis Ababa,Food 2 Photo File,,images/food/kitfo.webp
Addis Ababa,Food 2 Photo Credit,,https://commons.wikimedia.org/wiki/File:Kitfo_with_Ayibe..JPG
Addis Ababa,Food 3 Photo File,,images/food/tibs.webp
Addis Ababa,Food 3 Photo Credit,,https://commons.wikimedia.org/wiki/File:Injera_with_eight_kinds_of_stew.jpg
Addis Ababa,Food 4 Photo File,,images/food/shiro-wat.webp
Addis Ababa,Food 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Taita_and_shiro.jpg
Addis Ababa,Food 5 Photo File,,images/food/beyaynetu-fasting-platter.webp
Addis Ababa,Food 5 Photo Credit,,https://commons.wikimedia.org/wiki/File:Beyaynetu.JPG
Addis Ababa,Food 6 Photo File,,images/food/tere-sega-and-kurt-raw-beef.webp
Addis Ababa,Food 6 Photo Credit,,https://www.flickr.com/photos/94637630@N00/218967397
Addis Ababa,Food 7 Photo File,,images/food/buna-ethiopian-coffee-ceremony.webp
Addis Ababa,Food 7 Photo Credit,,https://commons.wikimedia.org/wiki/File:Injera_with_eight_kinds_of_stew.jpg
Addis Ababa,Food 8 Photo File,,images/food/tej-and-tella.webp
Addis Ababa,Food 8 Photo Credit,,https://commons.wikimedia.org/wiki/File:ET_Amhara_asv2018-02_img077_Lake_Tana_at_Bahir_Dar.jpg
Adelaide,Food 1 Photo File,,images/food/pie-floater.webp
Adelaide,Food 1 Photo Credit,,https://commons.wikimedia.org/wiki/File:Pie_floater_in_Adelaide_SA.jpg
Adelaide,Food 3 Photo File,,images/food/coffin-bay-oysters.webp
Adelaide,Food 3 Photo Credit,,https://commons.wikimedia.org/wiki/File:Motherhood_and_apple_pie.jpg
Adelaide,Food 4 Photo File,,images/food/barossa-and-adelaide-hills-produce-plate.webp
Adelaide,Food 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Meat_pie.jpg
Adelaide,Food 5 Photo File,,images/food/frog-cake.webp
Adelaide,Food 5 Photo Credit,,https://commons.wikimedia.org/wiki/File:Frog_cakes.jpg
Adelaide,Food 6 Photo File,,images/food/haigh-s-chocolates.webp
Adelaide,Food 6 Photo Credit,,https://commons.wikimedia.org/wiki/File:Haighs_Easter_Bilby_Nicole_Kearney.jpg
Adelaide,Food 7 Photo File,,images/food/coopers-ale.webp
Adelaide,Food 7 Photo Credit,,https://commons.wikimedia.org/wiki/File:Monster_Beverage_Headquarters.jpg
Adelaide,Food 8 Photo File,,images/food/barossa-and-adelaide-hills-wine.webp
Adelaide,Food 8 Photo Credit,,https://commons.wikimedia.org/wiki/File:Australian_Wine.jpg
Agadez,Hood 1 High-end Hotel,Pension Tellit,Hôtel de l'Aïr
Agadez,Hood 1 Mid-range Hotel,Hôtel Sultan Agadez,Hôtel Caravan Voyage
Agadez,Hood 1 Budget Hotel,Auberge Azel,
Agadez,Hood 2 High-end Hotel,Hotel Central Agadez,Hôtel de la Paix
Agadez,Hood 2 Mid-range Hotel,Résidence Tidene,Auberge Tagulmoust
Agadez,Hood 2 Budget Hotel,Hotel Tafadek,
Agadez,Hood 3 High-end Hotel,Auberge Endar Wandé,Auberge d'Azel
Agadez,Hood 3 Mid-range Hotel,Pension Founey,
Agadez,Hood 3 Budget Hotel,Hotel Aïr Info,
Agadez,Hood 4 High-end Hotel,Campement Toubou,Hôtel Telwa
Agadez,Hood 4 Mid-range Hotel,Pension Bougdouma,Hôtel Ténéré
Agadez,Hood 4 Budget Hotel,Hotel Sahara Star,
Agadez,Hood 5 High-end Hotel,Auberge du Désert,Hôtel Zagado
Agadez,Hood 5 Mid-range Hotel,Camping Agadez,Auberge Tellit
Agadez,Hood 5 Budget Hotel,Hotel Nomade,
Agadez,Travel Advisory,Travel to this destination is restricted or highly advised against,Level 4: Do Not Travel
Agadez,Food 1 Photo File,,images/food/taguella.webp
Agadez,Food 1 Photo Credit,,https://commons.wikimedia.org/wiki/File:Pain_%28taguella%29_%C3%A0_El_Ghessour%2C_Alg%C3%A9rie%2C_19_novembre_2009.jpg
Agadez,Food 2 Photo File,,images/food/mechoui-roast-goat.webp
Agadez,Food 2 Photo Credit,,https://commons.wikimedia.org/wiki/File:Mechoui.jpg
Agadez,Food 3 Photo File,,images/food/tchintchinga.webp
Agadez,Food 3 Photo Credit,,https://www.flickr.com/photos/127294011@N07/15075034702
Agadez,Food 4 Photo File,,images/food/dambou.webp
Agadez,Food 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Dambu.jpg
Agadez,Food 5 Photo File,,images/food/fassou-mutton-stew.webp
Agadez,Food 5 Photo Credit,,https://www.flickr.com/photos/70522326@N00/401975001
Agadez,Food 6 Photo File,,images/food/air-oasis-dates.webp
Agadez,Food 6 Photo Credit,,https://www.flickr.com/photos/127294011@N07/16087466367
Agadez,Food 7 Photo File,,images/food/tuareg-mint-tea.webp
Agadez,Food 7 Photo Credit,,https://commons.wikimedia.org/wiki/File:Tunisian_Tea_with_pine_nuts.jpg
Agadez,Food 8 Photo File,,images/food/fura-da-nono.webp
Agadez,Food 8 Photo Credit,,https://commons.wikimedia.org/wiki/File:Fura_da_nono.jpg
Agadir,Food 1 Photo File,,images/food/grilled-sardines.webp
Agadir,Food 1 Photo Credit,,https://commons.wikimedia.org/wiki/File:Mamakari_by_Kossy%40FINEDAYS_in_Akabane%2C_Tokyo.jpg
Agadir,Food 2 Photo File,,images/food/fish-chermoula.webp
Agadir,Food 2 Photo Credit,,https://commons.wikimedia.org/wiki/File:Klippfisk.jpg
Agadir,Food 3 Photo File,,images/food/seafood-tagine.webp
Agadir,Food 3 Photo Credit,,https://commons.wikimedia.org/wiki/File:Traditional_pizza_from_Napoli.jpg
Agadir,Food 4 Photo File,,images/food/couscous.webp
Agadir,Food 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Moroccan_cuscus%2C_from_Casablanca%2C_September_2018.jpg
Agadir,Food 5 Photo File,,images/food/harira.webp
Agadir,Food 5 Photo Credit,,https://commons.wikimedia.org/wiki/File:Harira.png
Agadir,Food 6 Photo File,,images/food/amlou-with-msemen.webp
Agadir,Food 6 Photo Credit,,https://wordpress.org/photos/photo/90468aab41/
