country,cityname,city,idx,name,reason
Colombia,San Andrés,san-andres,3,Spratt Bight Beach,missing — no photo at all
Colombia,San Andrés,san-andres,9,Jardín Botánico de San Andrés,missing — no photo at all
Comoros,Moroni,moroni,5,Palais du Peuple (Beit Salam),missing — no photo at all
Comoros,Moroni,moroni,6,Itsandra Beach and Palace Ruins,missing — no photo at all
Costa Rica,Liberia,liberia,5,Ponderosa Adventure Park,missing — no photo at all
Costa Rica,Liberia,liberia,6,Museo de Sabanero,missing — no photo at all
Costa Rica,Liberia,liberia,9,Casa de la Cultura de Liberia,missing — no photo at all
Croatia,Pula,pula,9,Aquarium Pula (Fort Verudela),missing — no photo at all
Cuba,Baracoa,baracoa,4,Yumurí Canyon,missing — no photo at all
Cuba,Baracoa,baracoa,6,Castillo de Seboruco,missing — no photo at all
Cuba,Baracoa,baracoa,8,Cueva del Paraíso (Museo Arqueológico),missing — no photo at all
Cuba,Trinidad,trinidad,5,Casa de la Música Steps,missing — no photo at all
Cyprus,Nicosia,nicosia,0,Büyük Han,missing — no photo at all
Cyprus,Nicosia,nicosia,1,Selimiye Mosque,missing — no photo at all
Cyprus,Nicosia,nicosia,2,Famagusta Gate,missing — no photo at all
Cyprus,Nicosia,nicosia,3,Venetian Walls of Nicosia,missing — no photo at all
Cyprus,Nicosia,nicosia,4,Cyprus Museum,missing — no photo at all
Cyprus,Nicosia,nicosia,5,Ledra Street,missing — no photo at all
Cyprus,Nicosia,nicosia,6,Shacolas Tower Museum and Observatory,missing — no photo at all
Cyprus,Nicosia,nicosia,7,Liberty Monument,missing — no photo at all
Cyprus,Nicosia,nicosia,8,Archbishop's Palace,missing — no photo at all
Cyprus,Nicosia,nicosia,9,Hadjigeorgakis Kornesios Mansion,missing — no photo at all
Côte d'Ivoire,Abidjan,abidjan,9,Cocody Town Hall,missing — no photo at all
Côte d'Ivoire,Yamoussoukro,yamoussoukro,8,Abokouamekro Game Reserve,missing — no photo at all
DR Congo,Goma,goma,6,Mount Goma,"wrong subject — photo is Mt. Nyiragongo, a different volcano"
DR Congo,Goma,goma,8,Virunga Market and Birere District,missing — no photo at all
DR Congo,Goma,goma,9,Grande Barrière Border Crossing,missing — no photo at all
Djibouti,Djibouti City,djibouti-city,0,Hamoudi Mosque,missing — no photo at all
Djibouti,Djibouti City,djibouti-city,1,Djibouti Central Market,missing — no photo at all
Djibouti,Djibouti City,djibouti-city,2,Place Menelik,missing — no photo at all
Djibouti,Djibouti City,djibouti-city,3,Cathedral of Our Lady of the Good Shepherd,missing — no photo at all
Djibouti,Djibouti City,djibouti-city,4,People's Palace (Palais du Peuple),missing — no photo at all
Djibouti,Djibouti City,djibouti-city,5,Djibouti Museum,missing — no photo at all
Djibouti,Djibouti City,djibouti-city,6,Moucha Island,missing — no photo at all
Djibouti,Djibouti City,djibouti-city,7,Maskali Islands,missing — no photo at all
Djibouti,Djibouti City,djibouti-city,8,Lake Assal,missing — no photo at all
Djibouti,Djibouti City,djibouti-city,9,Arta Beach,missing — no photo at all
Dominica,Roseau,roseau,5,Champagne Reef,missing — no photo at all
Dominica,Roseau,roseau,8,Titou Gorge,missing — no photo at all
Dominican Republic,La Romana,la-romana,4,Regional Museum of Archaeology (Altos de Chavón),missing — no photo at all
Dominican Republic,La Romana,la-romana,7,Dye Fore Golf Course,missing — no photo at all
Dominican Republic,La Romana,la-romana,9,Playa Minitas,missing — no photo at all
Dominican Republic,Puerto Plata,puerto-plata,1,Pico Isabel de Torres and Christ the Redeemer,"reviewed, skipped — no usable candidate found"
Dominican Republic,Puerto Plata,puerto-plata,4,Museo del Ámbar,missing — no photo at all
Dominican Republic,Puerto Plata,puerto-plata,5,Parque Independencia,missing — no photo at all
Dominican Republic,Punta Cana,punta-cana,6,Indigenous Eyes Ecological Park (Reserva Ecológica Ojos Indígenas),missing — no photo at all
Dominican Republic,Punta Cana,punta-cana,8,Marinarium,missing — no photo at all
Egypt,Hurghada,hurghada,3,El Dahar Old Town and Bazaar,missing — no photo at all
Egypt,Hurghada,hurghada,8,Dolphin House Reef (Sha'ab El Erg),missing — no photo at all
Egypt,Hurghada,hurghada,9,Eastern Desert Bedouin villages and dunes,missing — no photo at all
Egypt,Marsa Alam,marsa-alam,4,Samadai Reef (Dolphin House),missing — no photo at all
Egypt,Sharm El Sheikh,sharm-el-sheikh,3,Old Market (Sharm El Maya),missing — no photo at all
Equatorial Guinea,Malabo,malabo,1,Plaza de la Independencia,missing — no photo at all
Equatorial Guinea,Malabo,malabo,4,Parque de la Amistad (Friendship Park),missing — no photo at all
Equatorial Guinea,Malabo,malabo,9,Luba (Concepción) Coastal Town,missing — no photo at all
Ethiopia,Axum,axum,8,Axum Archaeological Museum,missing — no photo at all
Ethiopia,Bahir Dar,bahir-dar,4,Bezawit Hill (Haile Selassie Palace Viewpoint),missing — no photo at all
Ethiopia,Bahir Dar,bahir-dar,7,Tana Kirkos Island,missing — no photo at all
Ethiopia,Gondar,gondar,5,Ras Gimb Palace Museum,missing — no photo at all
Ethiopia,Gondar,gondar,9,Ras Mikael Sehul's Palace,"reviewed, skipped — no usable candidate found"
Ethiopia,Harar,harar,9,Mekina Girgir (Sewing Machine Street),missing — no photo at all
Ethiopia,Lalibela,lalibela,6,Asheton Maryam Monastery,missing — no photo at all
Ethiopia,Mek'ele,mek-ele,2,Abraha Castle,missing — no photo at all
Ethiopia,Mek'ele,mek-ele,4,Kedamay Weyane Market,missing — no photo at all
Federated States of Micronesia,Weno,weno,0,Fujikawa Maru,missing — no photo at all
Federated States of Micronesia,Weno,weno,1,San Francisco Maru,missing — no photo at all
Federated States of Micronesia,Weno,weno,2,Shinkoku Maru,missing — no photo at all
Federated States of Micronesia,Weno,weno,3,Nefo Cave,missing — no photo at all
Federated States of Micronesia,Weno,weno,4,Mount Tonaachaw,missing — no photo at all
Federated States of Micronesia,Weno,weno,5,Tonotan Guns and Caves,missing — no photo at all
Federated States of Micronesia,Weno,weno,6,Wiichen Men's Meetinghouse,missing — no photo at all
Federated States of Micronesia,Weno,weno,7,Xavier High School,missing — no photo at all
Federated States of Micronesia,Weno,weno,8,Kimiuo Aisek Memorial Museum,missing — no photo at all
Federated States of Micronesia,Weno,weno,9,Eten Island,missing — no photo at all
Fiji,Nadi,nadi,7,Momi Battery Historical Park,missing — no photo at all
Finland,Rovaniemi,rovaniemi,8,Arctic Circle Hiking Area and Vaattunkiköngäs,missing — no photo at all
France,Colmar,colmar,6,Koïfhus (Old Custom House),missing — no photo at all
France,Colmar,colmar,7,Quai de la Poissonnerie (Fishmonger's Quay),missing — no photo at all
France,Nîmes,nimes,9,Les Halles de Nîmes,missing — no photo at all
France,Tours,tours,9,Rue Colbert,"wrong subject — photo is Reims, not Tours"
Gabon,Libreville,libreville,0,Cathédrale Sainte-Marie,missing — no photo at all
Gabon,Libreville,libreville,9,Akanda National Park,missing — no photo at all
Gambia,Banjul,banjul,4,McCarthy Square,missing — no photo at all
Germany,Cologne,cologne,8,Rheinauhafen and the Kranhäuser (Crane Houses),missing — no photo at all
Germany,Cologne,cologne,9,4711 House of Fragrances (Glockengasse),missing — no photo at all
Germany,Munich,munich,9,Deutsches Museum,licence blocked — replacement was CC BY-NC-ND — NonCommercial/NoDerivatives
Ghana,Accra,accra,9,W.E.B. Du Bois Centre,wrong subject — current photo wrong subject; replacement was NC-ND licensed
Ghana,Cape Coast,cape-coast,7,Assin Manso Ancestral Slave River Site,missing — no photo at all
Ghana,Kumasi,kumasi,3,Prempeh II Jubilee Museum,missing — no photo at all
Ghana,Kumasi,kumasi,6,Rattray Park,"reviewed, skipped — no usable candidate found"
Greece,Chios,chios,9,Giustiniani Palace Museum,"reviewed, skipped — no usable candidate found"
Greece,Corfu,corfu,3,Vlacherna Monastery and Pontikonisi (Mouse Island),missing — no photo at all
Greece,Corfu,corfu,7,Kanoni viewpoint,missing — no photo at all
Greece,Heraklion,heraklion,9,Central Market on 1866 Street,missing — no photo at all
Greece,Kalamata,kalamata,7,Monastery of Kalograion (Nuns' Monastery),missing — no photo at all
Greece,Kalamata,kalamata,9,Kalamata Costume Museum (Benaki Museum Annex),missing — no photo at all
Greece,Mytilene,mytilene,5,"Teriade Museum, Varia",missing — no photo at all
Greece,Mytilene,mytilene,6,Theophilos Museum,"reviewed, skipped — no usable candidate found"
Greece,Mytilene,mytilene,8,Ermou Street and the Old Market,missing — no photo at all
Greenland,Nuuk,nuuk,9,Myggedalen Viewpoint,missing — no photo at all
Grenada,St. George's,st-george-s,4,Market Square,missing — no photo at all
Guadeloupe,Le Gosier,le-gosier,8,Friday Night Market of Gosier,missing — no photo at all
Guadeloupe,Le Gosier,le-gosier,9,Étang du Mitan,missing — no photo at all
Guatemala,Flores,flores,6,Jorge's Rope Swing,missing — no photo at all
Guatemala,Flores,flores,7,ARCAS Wildlife Rescue Center,missing — no photo at all
Guatemala,Flores,flores,8,Parque Natural Ixpanpajul,missing — no photo at all
Guinea,Conakry,conakry,5,Grand Marché Madina,missing — no photo at all
Guinea,Conakry,conakry,7,Rogbané Beach,missing — no photo at all
Guinea-Bissau,Bissau,bissau,2,Bandim Market,missing — no photo at all
Guinea-Bissau,Bissau,bissau,7,Bissau Velho (Old Bissau) Waterfront,missing — no photo at all
Haiti,Cap-Haïtien,cap-haitien,3,Place d'Armes,missing — no photo at all
Haiti,Cap-Haïtien,cap-haitien,7,Île-à-Rat (Amiga Island),missing — no photo at all
Haiti,Cap-Haïtien,cap-haitien,9,Site des Ramiers,missing — no photo at all
Honduras,La Ceiba,la-ceiba,2,Cuero y Salado Wildlife Refuge,missing — no photo at all
Honduras,La Ceiba,la-ceiba,3,Catedral San Isidro and Parque Central,missing — no photo at all
Honduras,La Ceiba,la-ceiba,5,Museum of Butterflies and Other Insects,missing — no photo at all
Honduras,La Ceiba,la-ceiba,6,Parque Swinford,missing — no photo at all
Honduras,La Ceiba,la-ceiba,8,Reynaldo Canales Tourist Pier,missing — no photo at all
Honduras,La Ceiba,la-ceiba,9,Paseo de los Ceibeños,missing — no photo at all
Honduras,San Pedro Sula,san-pedro-sula,3,Mercado Guamilito,missing — no photo at all
Honduras,San Pedro Sula,san-pedro-sula,8,Museo de la Naturaleza,missing — no photo at all
Honduras,San Pedro Sula,san-pedro-sula,9,Cathedral viewpoint at El Merendón,missing — no photo at all
India,Ahmedabad,ahmedabad,0,Sabarmati Ashram,missing — no photo at all
India,Ahmedabad,ahmedabad,1,Jama Mosque,missing — no photo at all
India,Ahmedabad,ahmedabad,2,Sidi Saiyyed Mosque,missing — no photo at all
India,Ahmedabad,ahmedabad,3,Bhadra Fort & Teen Darwaza,missing — no photo at all
India,Ahmedabad,ahmedabad,4,Kankaria Lake,missing — no photo at all
India,Ahmedabad,ahmedabad,5,Sabarmati Riverfront,missing — no photo at all
India,Ahmedabad,ahmedabad,6,Adalaj Stepwell,missing — no photo at all
India,Ahmedabad,ahmedabad,7,Hutheesing Jain Temple,missing — no photo at all
India,Ahmedabad,ahmedabad,8,Calico Museum of Textiles,missing — no photo at all
India,Ahmedabad,ahmedabad,9,Sarkhej Roza,missing — no photo at all
India,Tirupati,tirupati,9,Sri Venkateswara Gosamrakshanashala,missing — no photo at all
Indonesia,Banda Aceh,banda-aceh,3,Lampulo Boat on the Roof,missing — no photo at all
Indonesia,Labuan Bajo,labuan-bajo,6,Cunca Wulang Waterfall,missing — no photo at all
Indonesia,Magelang,magelang,8,OHD Museum,missing — no photo at all
Indonesia,Makassar,makassar,7,Center Point of Indonesia (CPI),missing — no photo at all
Indonesia,Malang,malang,8,Kanjuruhan Stadium,"reviewed, skipped — no usable candidate found"
Indonesia,Manado,manado,7,Pasar Bersehati,missing — no photo at all
Indonesia,Manado,manado,9,Manado Town Square (Mantos),missing — no photo at all
Indonesia,Mataram,mataram,9,Sekarbela Pearl District,missing — no photo at all
Iran,Kermanshah,kermanshah,3,Emad od-Dowleh Mosque,missing — no photo at all
Iran,Kermanshah,kermanshah,8,Dowlatshah Mosque,"reviewed, skipped — no usable candidate found"
Iraq,Karbala,karbala,4,Khaymagah (Camp of Imam Husayn),missing — no photo at all
Iraq,Karbala,karbala,7,Karbala Old City Souks,missing — no photo at all
Israel,Eilat,eilat,8,Eilat Birdwatching Park (IBRCE),missing — no photo at all
Italy,Cortina d'Ampezzo,cortina-d-ampezzo,0,Tofana di Mezzo and the Freccia nel Cielo cable car,missing — no photo at all
Italy,Cortina d'Ampezzo,cortina-d-ampezzo,5,Lagazuoi and its WWI tunnels,missing — no photo at all
Italy,Positano,positano,6,MAR Positano (Roman Archaeological Museum),missing — no photo at all
Italy,Positano,positano,9,Arienzo Beach,missing — no photo at all
Jamaica,Kingston,kingston,7,Trench Town Culture Yard,missing — no photo at all
Jamaica,Montego Bay,montego-bay,5,Cinnamon Hill Great House,missing — no photo at all
Jamaica,Montego Bay,montego-bay,7,Rocklands Bird Sanctuary,missing — no photo at all
Japan,Aomori,aomori,8,Auga Fish Market,missing — no photo at all
Japan,Hirosaki,hirosaki,9,Nakacho Samurai District (Ishiba Residence),missing — no photo at all
Japan,Kurashiki,kurashiki,6,Japan Rural Toy Museum,missing — no photo at all
Japan,Kusatsu,kusatsu,5,Gozanoyu Bathhouse,missing — no photo at all
Japan,Kusatsu,kusatsu,9,Nishinokawara Park,missing — no photo at all
Japan,Otaru,otaru,8,Otaru Sushiya-dori (Sushi Street),missing — no photo at all
Jordan,Aqaba,aqaba,5,Cedar Pride Shipwreck,missing — no photo at all
Jordan,Aqaba,aqaba,9,Aqaba Bird Observatory,missing — no photo at all
Kenya,Lamu,lamu,7,German Post Office Museum,missing — no photo at all
Kenya,Lamu,lamu,9,Harambee Avenue,missing — no photo at all
Kenya,Malindi,malindi,8,Falconry of Kenya,missing — no photo at all
Kenya,Malindi,malindi,9,Silversand Beach,missing — no photo at all
Kenya,Nakuru,nakuru,8,Soysambu Conservancy,missing — no photo at all
Kenya,Nakuru,nakuru,9,Nakuru Town Curio and Maasai Market,missing — no photo at all
Kuwait,Al Ahmadi,al-ahmadi,0,Ahmadi Garden (Al Ahmadi Public Garden),missing — no photo at all
Kuwait,Al Ahmadi,al-ahmadi,1,Ahmad Al-Jaber Oil and Gas Exhibition,missing — no photo at all
Kuwait,Al Ahmadi,al-ahmadi,3,Ahmadi Township Heritage District,missing — no photo at all
Kuwait,Al Ahmadi,al-ahmadi,5,Al Kout Mall and Waterfront,missing — no photo at all
Kuwait,Al Ahmadi,al-ahmadi,7,Ahmadi Stadium,"wrong subject — photo is Jaber Al-Ahmad Intl Stadium, a different venue"
Kuwait,Al Ahmadi,al-ahmadi,8,Sahara Kuwait Resort and Golf Club,missing — no photo at all
Kuwait,Kuwait City,kuwait-city,0,Kuwait Towers,missing — no photo at all
Kuwait,Kuwait City,kuwait-city,1,Grand Mosque of Kuwait,missing — no photo at all
Kuwait,Kuwait City,kuwait-city,2,Liberation Tower,missing — no photo at all
Kuwait,Kuwait City,kuwait-city,3,Al Hamra Tower,missing — no photo at all
Kuwait,Kuwait City,kuwait-city,4,Al Shaheed Park,missing — no photo at all
Kuwait,Kuwait City,kuwait-city,5,Kuwait National Museum,missing — no photo at all
Kuwait,Kuwait City,kuwait-city,6,Tareq Rajab Museum,missing — no photo at all
Kuwait,Kuwait City,kuwait-city,7,Sadu House,missing — no photo at all
Kuwait,Kuwait City,kuwait-city,8,Souq Al-Mubarakiya,missing — no photo at all
Kuwait,Kuwait City,kuwait-city,9,Kuwait National Assembly Building,missing — no photo at all
Kyrgyzstan,Bishkek,bishkek,1,Manas Statue and State Flag,missing — no photo at all
Kyrgyzstan,Karakol,karakol,1,Holy Trinity Orthodox Cathedral,missing — no photo at all
Kyrgyzstan,Karakol,karakol,9,Karakol Ski Base,missing — no photo at all
Laos,Luang Prabang,luang-prabang,7,Traditional Arts and Ethnology Centre (TAEC),missing — no photo at all
Laos,Luang Prabang,luang-prabang,9,Ban Chan Pottery Village,missing — no photo at all
Laos,Vientiane,vientiane,9,COPE Visitor Centre,missing — no photo at all
Lesotho,Maseru,maseru,1,Royal Palace of Lesotho,missing — no photo at all
Lesotho,Maseru,maseru,7,Lancer's Gap,missing — no photo at all
Lesotho,Maseru,maseru,8,Maseru Club,missing — no photo at all
Liberia,Monrovia,monrovia,2,Centennial Pavilion,missing — no photo at all
Lithuania,Klaipėda,klaipeda,6,Black Ghost Sculpture (Juodasis Vaiduoklis),missing — no photo at all
Madagascar,Morondava,morondava,3,Nosy Kely Beach,missing — no photo at all
Madagascar,Morondava,morondava,6,Sacred Baobab of Mahabo,missing — no photo at all
Madagascar,Morondava,morondava,7,Kimony Beach,missing — no photo at all
Madagascar,Morondava,morondava,8,Marofandilia Craft Village,missing — no photo at all
Madagascar,Morondava,morondava,9,Morondava Mangroves and River Delta,missing — no photo at all
Malawi,Blantyre,blantyre,3,Michiru Mountain Nature Sanctuary,missing — no photo at all
Malawi,Blantyre,blantyre,7,Jacaranda Cultural Centre,missing — no photo at all
Malawi,Blantyre,blantyre,8,Blantyre Crafts Market (Pa Ziboli-boli),missing — no photo at all
Malawi,Blantyre,blantyre,9,Njamba Freedom Park,missing — no photo at all
Malawi,Lilongwe,lilongwe,6,Lilongwe Golf Club,missing — no photo at all
Malawi,Lilongwe,lilongwe,9,Kamuzu Institute for Sports,missing — no photo at all
Malaysia,Johor Bahru,johor-bahru,9,Hutan Bandar Recreational Park (City Forest),missing — no photo at all
Maldives,Malé,male,7,Muleeaage Palace,missing — no photo at all
Mali,Bamako,bamako,7,Point G Hill,missing — no photo at all
Mali,Timbuktu,timbuktu,7,Well of Old Bouctou,missing — no photo at all
Mali,Timbuktu,timbuktu,8,Flame of Peace Monument,missing — no photo at all
Mali,Timbuktu,timbuktu,9,Grand Marché and Saharan Dunes,missing — no photo at all
Marshall Islands,Majuro,majuro,2,WWII Japanese Bunkers and Relics,missing — no photo at all
Marshall Islands,Majuro,majuro,5,Uliga District Waterfront,missing — no photo at all
Marshall Islands,Majuro,majuro,7,Rita Point,missing — no photo at all
Marshall Islands,Majuro,majuro,9,Assumption of Mary Catholic Church,missing — no photo at all
Martinique,Fort-de-France,fort-de-france,9,Baie des Flamands Waterfront (Malecón),missing — no photo at all
Mayotte,Mamoudzou,mamoudzou,8,Coconi Botanical Garden (Jardin Botanique de Coconi),missing — no photo at all
Mexico,Ensenada,ensenada,8,Mirador El Ciprés (Chapultepec Hill),missing — no photo at all
Mexico,Ensenada,ensenada,9,Museo Caracol (Museo de Ciencias),missing — no photo at all
